,lat,lon,elvt,Day sin,Day cos,Year sin,Year cos,smax,smin,tmax,tmin,dmax,dmin,hmax,hmin,Gx,Gy,prcp,stp,gbrd,temp,dewp,hmdy,Wx,Wy,target
11,-16.27222222,-47.96638889,959.5,-0.9659258262893743,0.25881904510137854,-0.2248089252532611,0.9744028669531272,900.2,900.0,26.9,25.1,20.1,18.4,72.0,60.0,4.645969134443472,-6.6351315587408335,0.0,900.1,1199.0,25.1,19.2,70.0,2.581093963579707,-3.686184199300463,5128.3096233904935
12,-14.92777777,-53.8836111,648.0,0.9659258262868957,0.25881904511062875,0.8545758667688107,-0.5193265715677717,941.3,940.8,18.6,18.3,15.9,15.6,85.0,83.0,-3.2393697053772907,-0.6296696847425975,0.0,940.8,1549.6164658769599,18.4,15.6,83.0,-2.5522306769639265,-0.4961033879790163,5299.747697718495
13,-18.40972222,-49.19194444,488.0,-0.9659258262907887,0.2588190450961002,-0.7143988539208315,-0.6997387208927361,959.3,958.8,31.5,30.6,9.1,8.0,26.0,24.0,-2.5881904510252083,9.659258262890683,0.0,958.8,1886.0,30.6,8.1,25.0,-1.6305599841458813,6.085332705621131,5385.602929517333
14,-16.962536,-50.42545,678.74,0.4999999999915253,0.8660254037893316,0.08012912006787375,-0.9967844923137339,937.7,937.4,22.1,21.8,14.1,13.9,61.0,60.0,0.07328894307525269,-2.098720736740101,0.0,937.4,1549.6164658769599,21.9,13.9,60.0,0.03489949670250128,-0.9993908270190958,5259.627926784514
15,-16.96694443,-51.81749999,740.1,0.7071067811786569,0.7071067811944381,-0.9164439786407299,-0.4001630093013962,930.4,930.2,22.4,21.6,5.6,4.1,35.0,31.0,-1.1872673346189964,-0.7418869699264866,0.0,930.3,1549.6164658769599,21.8,4.9,33.0,-0.33921923846257046,-0.21196770569328194,5188.849286782689
16,-9.84944444,-56.1,289.0,-0.9659258262893236,-0.2588190451015683,0.43778028430082755,-0.8990819888516768,980.5,979.3,30.5,29.2,23.3,21.4,69.0,60.0,-5.258610463437158,3.820604139901076,0.0,979.3,2785.0,30.3,22.1,62.0,-1.7798373876248843,1.2931275550434413,6291.339792827941
17,-18.51222222,-54.73583333,252.0,1.4029112965696086e-12,-1.0,-0.15826391197574277,-0.9873968473547676,992.6,991.9,13.3,9.6,7.1,5.9,82.0,64.0,-2.542696304163661,2.823950336814098,0.0,992.6,754.0,13.3,6.9,65.0,-1.4051742733536023,1.560604133502528,4175.24296758347
18,-18.80222222,-52.6025,820.82,-0.8660254037813268,-0.5000000000053899,0.9563878106108229,-0.2920999070781037,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-4.2503424510589385,0.7354199559268639,0.15857694008505133,955.2344215023717,1549.6164658769599,24.19279016924677,17.17139968745509,69.09971393312566,-1.6738642584211414,0.2896221171188069,5490.611475399429
19,-9.95,-54.88333333,320.0,1.3194991461559503e-11,-1.0,0.8905575083318934,0.45487066772181467,980.4,979.3,25.0,23.7,24.2,22.8,97.0,92.0,-3.4110168578436437,-1.890757518960714,3.2,980.4,635.0,25.0,23.8,93.0,-1.661777443564852,-0.9211382784680402,4252.427404747231
20,-17.45472222,-52.60111111,862.0,-0.5000000000018212,-0.8660254037833871,-0.7364044651559271,0.6765415461731918,931.6,931.3,30.3,28.8,22.5,20.7,67.0,57.0,2.810524538120126,4.0138450170160604,0.0,931.3,3290.0,30.0,20.8,58.0,1.3192258036074058,1.884049701864681,7219.845923407841
